age,ed,employ,address,income,debtinc,creddebt,othdebt,default
27,2,8,4,38,6.9,0.364,2.258,0
45,1,17,0,62,15,2.437,6.863,0
37,1,9,8,57,5.5,1.357,1.778,0
29,2,3,6,26,6.1,0.538,1.048,1
51,1,10,1,44,13.2,4.96,0.848,1
22,3,0,0,23,8.4,0.373,1.559,1
30,4,7,10,30,15.7,0.264,4.446,0
31,1,7,2,20,12.3,0.111,2.349,0
28,1,2,0,18,14.8,1.939,0.725,1
35,1,10,16,39,5.7,0.218,2.005,0
25,4,1,1,34,8.5,0.133,2.757,1
32,2,5,0,28,14.8,2.594,1.55,1
33,1,2,10,24,9.6,1.041,1.263,0
28,2,3,4,41,25.1,5.897,4.394,1
46,3,4,17,73,5.4,2.223,1.719,0
41,1,24,12,83,14,6.589,5.031,0
42,2,11,5,73,6.8,2.869,2.095,0
41,4,9,13,47,5,0.437,1.913,0
26,1,3,5,29,25.7,2.527,4.926,1
47,1,27,8,113,9.2,2.381,8.015,0
29,1,1,3,18,25.6,1.981,2.627,1
34,1,3,14,36,4.7,0.624,1.068,0
36,1,7,2,43,6.2,1.04,1.626,0
38,2,7,4,64,3,0.651,1.269,0
41,2,4,14,26,19.2,1.473,3.519,1
46,1,9,23,31,13.8,1.617,2.661,0
40,3,3,15,55,16.5,1.751,7.324,1
44,2,17,0,129,2.5,0.551,2.674,0
35,3,10,15,39,10.4,1.602,2.454,0
36,1,20,15,60,5.4,1.056,2.184,0
28,2,0,3,30,4.8,0.121,1.319,1
29,2,6,7,18,5.1,0.45,0.468,1
23,2,3,3,22,11.4,1.274,1.234,1
41,2,7,17,63,15.4,4.638,5.064,0
25,1,1,1,19,6.9,0.19,1.121,0
45,2,2,19,29,5.4,0.443,1.123,0
48,2,30,14,148,7.2,3.975,6.681,0
38,1,18,7,45,7,0.536,2.615,0
29,1,6,4,46,5.4,1.17,1.314,0
42,4,15,8,186,3.6,2.404,4.292,0
31,1,11,12,47,10.9,2.864,2.259,0
40,1,3,13,23,6.9,0.409,1.178,0
26,1,2,6,21,19.8,1.023,3.135,0
25,1,6,6,22,20.2,2.262,2.182,0
53,4,7,11,61,7.9,1.875,2.944,0
50,3,18,27,102,14.1,5.782,8.6,0
47,1,31,9,136,23.1,14.231,17.185,1
23,1,1,0,21,8.4,1.21,0.554,1
37,3,12,8,83,4.1,0.32,3.083,0
41,1,24,15,100,11.5,5.06,6.44,0
28,2,0,7,29,13.3,2.148,1.709,1
31,1,7,11,41,30.7,2.996,9.591,1
41,2,6,1,19,6.3,0.124,1.073,0
36,1,7,17,40,9.9,1.695,2.265,0
41,1,1,16,19,4.4,0.242,0.594,0
53,2,16,31,44,5.6,1.333,1.131,0
31,2,6,5,25,11.5,2.332,0.543,0
28,2,5,6,25,2.9,0.339,0.386,0
48,1,28,25,70,12,4.334,4.066,0
23,2,0,1,42,3.9,1.019,0.619,1
31,1,11,6,34,6.8,0.298,2.014,0
27,1,6,6,43,4.9,0.883,1.224,0
43,1,11,17,37,1.3,0.18,0.301,0
29,2,5,7,28,18.7,2.126,3.11,0
53,1,6,7,27,6.4,0.594,1.134,1
38,1,4,9,19,13.6,1.245,1.339,0
30,1,12,10,38,8.5,0.171,3.059,0
28,3,2,0,20,9.4,0.233,1.647,1
36,1,11,2,33,32.5,1.266,9.459,0
48,1,15,5,60,2.1,0.321,0.939,0
31,1,12,9,24,6.6,0.442,1.142,0
35,1,16,10,57,10.5,1.143,4.842,0
50,1,4,4,23,12.5,0.141,2.734,0
42,2,12,9,55,15,2.533,5.717,0
40,1,2,3,28,7.1,0.185,1.803,0
37,2,0,13,31,0.9,0.118,0.161,1
31,3,6,8,54,2.8,0.402,1.11,0
38,1,11,13,35,8,1.266,1.534,0
35,1,15,1,77,10.6,5.501,2.661,0
44,1,24,10,101,5.6,2.992,2.664,0
44,2,21,14,113,13.2,3.192,11.724,0
33,1,0,12,23,0.9,0.077,0.13,0
35,1,7,14,29,4.9,0.264,1.157,0
36,3,10,4,43,13,0.961,4.629,0
23,2,3,4,24,6.3,0.552,0.96,0
27,1,0,7,18,12.8,0.583,1.721,0
34,1,6,1,20,1.2,0.042,0.198,0
35,1,0,5,34,11.1,1.37,2.404,1
24,2,4,4,20,3.7,0.324,0.416,0
48,1,30,8,101,6.4,1.875,4.589,0
26,2,8,1,40,11.8,0.444,4.276,0
40,1,6,9,36,2.1,0.391,0.365,1
34,1,9,8,48,9.3,0.42,4.044,0
35,1,17,4,42,3,0.093,1.167,0
30,1,7,2,33,25.4,1.165,7.217,1
20,1,4,0,14,9.7,0.201,1.157,1
36,4,1,17,30,11.5,0.324,3.126,0
21,1,1,1,16,6.3,0.141,0.867,0
34,1,18,10,53,10.5,0.84,4.725,0
35,1,7,5,39,16.1,1.702,4.577,1
35,3,1,4,20,7.9,0.853,0.727,0
34,1,10,1,33,10.3,2.502,0.897,1
33,1,12,12,68,10.8,1.366,5.978,0
30,1,4,2,18,10.7,0.227,1.699,0
24,2,0,5,16,7.3,0.025,1.143,0
47,1,31,8,253,7.2,9.308,8.908,0
53,1,0,26,27,28.9,2.754,5.049,1
22,3,0,2,20,4.7,0.219,0.721,0
48,2,6,1,66,12.1,2.316,5.67,0
36,2,6,15,27,4.6,0.262,0.98,1
29,2,6,4,21,11.5,0.369,2.046,0
33,1,15,3,32,7.6,0.491,1.941,0
45,1,19,22,77,8.4,2.303,4.165,0
37,1,12,14,44,14.7,2.995,3.473,0
